type,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index,age of turtles
s1,500,1,s1_500_1,3000,256,0.512,3436.367188,3.87890625,1.73046875,0.37,0
s1,500,2,s1_500_2,3000,287,0.574,3708.25784,3.843205575,1.850174216,0.42,0
s1,500,2,s1_500_2,3000,287,0.574,3654.61324,3.588850174,1.81533101,0.43,0
s1,500,2,s1_500_2,3000,291,0.582,3671.37457,3.800687285,1.766323024,0.42,0
s1,500,2,s1_500_2,3000,296,0.592,3511.800676,3.820945946,1.861486486,0.43,0
s1,500,2,s1_500_2,3000,296,0.592,3737.807432,3.837837838,1.783783784,0.41,0
s1,500,2,s1_500_2,3000,294,0.588,3710.479592,3.731292517,1.792517007,0.41,0
s1,500,2,s1_500_2,3000,293,0.586,3666.65529,3.791808874,1.825938567,0.42,0
s1,500,2,s1_500_2,3000,287,0.574,3530.592334,3.923344948,1.895470383,0.45,0
s1,500,2,s1_500_2,3000,297,0.594,3599.727273,3.626262626,1.791245791,0.43,0
s1,500,2,s1_500_2,3000,263,0.526,3754.912548,3.958174905,1.863117871,0.41,0
s1,500,2,s1_500_2,3000,302,0.604,3508.34106,3.847682119,1.880794702,0.43,0
s1,500,2,s1_500_2,3000,304,0.608,3511.608553,3.75,1.848684211,0.41,0
s1,500,2,s1_500_2,3000,268,0.536,3603.276119,3.843283582,1.880597015,0.44,0
s1,500,2,s1_500_2,3000,306,0.612,3472.748366,3.725490196,1.820261438,0.45,0
s1,500,2,s1_500_2,3000,281,0.562,3535.94306,3.637010676,1.857651246,0.43,0
s1,500,2,s1_500_2,3000,282,0.564,3679.719858,3.75177305,1.804964539,0.44,0
s1,500,2,s1_500_2,3000,279,0.558,3833.849462,3.677419355,1.745519713,0.42,0
s1,500,2,s1_500_2,3000,299,0.598,3222.558528,3.936454849,1.919732441,0.46,0
s1,500,2,s1_500_2,3000,286,0.572,3639.335664,3.63986014,1.804195804,0.44,0
s1,500,2,s1_500_2,3000,288,0.576,3542.628472,3.899305556,1.881944444,0.43,0
s1,500,2,s1_500_2,3000,276,0.552,3564,3.746376812,1.851449275,0.44,0
s1,500,2,s1_500_2,3000,287,0.574,3812.595819,3.891986063,1.766550523,0.40,0
s1,500,2,s1_500_2,3000,274,0.548,3768.572993,3.737226277,1.755474453,0.44,0
s1,500,2,s1_500_2,3000,296,0.592,3268.618243,3.753378378,1.918918919,0.44,0
s1,500,2,s1_500_2,3000,297,0.594,3550.845118,3.784511785,1.814814815,0.44,0
s1,500,2,s1_500_2,3000,287,0.574,3660.804878,3.909407666,1.780487805,0.42,0
s1,500,2,s1_500_2,3000,282,0.564,3719.021277,3.75177305,1.79787234,0.41,0
s1,500,2,s1_500_2,3000,297,0.594,3705.16835,3.696969697,1.824915825,0.42,0
s1,500,2,s1_500_2,3000,300,0.6,3392.296667,3.52,1.836666667,0.47,0
s1,500,2,s1_500_2,3000,297,0.594,3315.222222,3.737373737,1.895622896,0.46,0
s1,500,3,s1_500_3,3000,287,0.574,3309.080139,3.742160279,1.860627178,0.49,0
s1,500,3,s1_500_3,3000,282,0.564,3287.12766,3.581560284,1.890070922,0.47,0
s1,500,3,s1_500_3,3000,287,0.574,3535.557491,3.463414634,1.836236934,0.45,0
s1,500,3,s1_500_3,3000,302,0.604,3286.655629,3.639072848,1.82781457,0.47,0
s1,500,3,s1_500_3,3000,295,0.59,3482.284746,3.766101695,1.820338983,0.47,0
s1,500,3,s1_500_3,3000,294,0.588,3747.44898,3.554421769,1.710884354,0.45,0
s1,500,3,s1_500_3,3000,293,0.586,3476.877133,3.914675768,1.815699659,0.48,0
s1,500,3,s1_500_3,3000,277,0.554,3873.953069,3.57400722,1.725631769,0.40,0
s1,500,3,s1_500_3,3000,293,0.586,3634.627986,3.645051195,1.825938567,0.44,0
s1,500,3,s1_500_3,3000,292,0.584,3438.178082,3.691780822,1.859589041,0.48,0
s1,500,3,s1_500_3,3000,297,0.594,3709.242424,3.895622896,1.804713805,0.44,0
s1,500,3,s1_500_3,3000,287,0.574,3591.324042,3.693379791,1.808362369,0.44,0
s1,500,3,s1_500_3,3000,295,0.59,3378.39322,3.905084746,1.844067797,0.49,0
s1,500,3,s1_500_3,3000,293,0.586,3389.802048,3.62116041,1.897610922,0.46,0
s1,500,3,s1_500_3,3000,275,0.55,3606.654545,3.810909091,1.88,0.45,0
s1,500,3,s1_500_3,3000,270,0.54,3664.885185,3.696296296,1.811111111,0.45,0
s1,500,3,s1_500_3,3000,272,0.544,3815.102941,3.797794118,1.720588235,0.44,0
s1,500,3,s1_500_3,3000,290,0.58,3601.289655,3.717241379,1.806896552,0.44,0
s1,500,3,s1_500_3,3000,279,0.558,3289.90681,3.810035842,1.899641577,0.50,0
s1,500,3,s1_500_3,3000,281,0.562,3686.572954,3.612099644,1.772241993,0.45,0
s1,500,3,s1_500_3,3000,297,0.594,3555.050505,3.622895623,1.818181818,0.44,0
s1,500,3,s1_500_3,3000,281,0.562,3536.637011,3.854092527,1.8113879,0.44,0
s1,500,3,s1_500_3,3000,288,0.576,3628.420139,3.597222222,1.833333333,0.47,0
s1,500,3,s1_500_3,3000,287,0.574,3392.12892,3.738675958,1.857142857,0.47,0
s1,500,3,s1_500_3,3000,290,0.58,3279.475862,3.796551724,1.889655172,0.48,0
s1,500,3,s1_500_3,3000,286,0.572,3400.318182,3.625874126,1.933566434,0.46,0
s1,500,3,s1_500_3,3000,287,0.574,3515.142857,3.595818815,1.81184669,0.49,0
s1,500,3,s1_500_3,3000,287,0.574,3584.926829,3.620209059,1.777003484,0.46,0
s1,500,max,s1_500_max,3000,329,0.658,3014.513678,3.689969605,2.036474164,0.49,0
s1,500,3,s1_500_3,3000,283,0.566,3621.660777,3.650176678,1.802120141,0.46,0
s1,500,3,s1_500_3,3000,287,0.574,3336.404181,3.74912892,1.881533101,0.48,0
s1,500,max,s1_500_max,3000,292,0.584,2830.023973,3.780821918,2.078767123,0.53,0
s1,500,max,s1_500_max,3000,312,0.624,3110.019231,3.778846154,1.891025641,0.52,0
s1,500,max,s1_500_max,3000,317,0.634,2938.268139,3.779179811,2.05362776,0.51,0
s1,500,max,s1_500_max,3000,313,0.626,2966.514377,3.728434505,2.031948882,0.52,0
s1,500,max,s1_500_max,3000,305,0.61,3053.747541,3.859016393,2.042622951,0.51,0
s1,500,max,s1_500_max,3000,288,0.576,3389.84375,3.725694444,1.9375,0.48,0
s1,500,max,s1_500_max,3000,300,0.6,3335.003333,3.766666667,1.98,0.46,0
s1,500,max,s1_500_max,3000,302,0.604,2964.927152,3.698675497,2.006622517,0.54,0
s1,500,max,s1_500_max,3000,306,0.612,3083.336601,3.869281046,2.045751634,0.53,0
s1,500,max,s1_500_max,3000,309,0.618,3228.016181,3.851132686,2,0.48,0
s1,500,max,s1_500_max,3000,304,0.608,2975.677632,3.6875,1.993421053,0.53,0
s1,500,max,s1_500_max,3000,322,0.644,3200.891304,3.810559006,1.99378882,0.49,0
s1,500,max,s1_500_max,3000,303,0.606,3380.653465,3.805280528,1.98019802,0.45,0
s1,500,max,s1_500_max,3000,311,0.622,2763.527331,3.778135048,2.083601286,0.53,0
s1,500,max,s1_500_max,3000,308,0.616,3219.318182,3.681818182,1.925324675,0.49,0
s1,500,max,s1_500_max,3000,315,0.63,3176.330159,3.6,1.977777778,0.52,0
s1,500,max,s1_500_max,3000,319,0.638,3221.554859,3.620689655,1.934169279,0.50,0
s1,500,max,s1_500_max,3000,285,0.57,2951.515789,3.719298246,2.133333333,0.53,0
s1,500,max,s1_500_max,3000,327,0.654,2886.253823,3.948012232,2.01529052,0.53,0
s1,500,max,s1_500_max,3000,300,0.6,3014.743333,3.8,2.076666667,0.52,0
s1,500,max,s1_500_max,3000,311,0.622,3130.045016,3.665594855,2.012861736,0.49,0
s1,500,max,s1_500_max,3000,320,0.64,2949.66875,3.84375,2.1,0.55,0
s1,500,max,s1_500_max,3000,313,0.626,3177.709265,3.702875399,2.015974441,0.48,0
s1,500,max,s1_500_max,3000,336,0.672,2943.196429,3.636904762,2.032738095,0.52,0
s1,500,max,s1_500_max,3000,310,0.62,2887.990323,3.832258065,2.038709677,0.52,0
s1,500,max,s1_500_max,3000,324,0.648,3014.45679,3.882716049,1.99382716,0.50,0
s1,500,max,s1_500_max,3000,326,0.652,3134.300613,3.800613497,2,0.51,0
s1,500,max,s1_500_max,3000,318,0.636,3118.31761,3.669811321,1.996855346,0.52,0
s1,500,max,s1_500_max,3000,325,0.65,3024.132308,3.763076923,1.898461538,0.49,0
s1,1000,1,s1_1000_1,3000,449,0.449,2501.069042,3.636971047,1.44766147,0.37,0
s1,1000,1,s1_1000_1,3000,410,0.41,2695.029268,3.395121951,1.492682927,0.35,0
s1,1000,1,s1_1000_1,3000,440,0.44,2424.890909,3.55,1.495454545,0.40,0
s1,1000,1,s1_1000_1,3000,423,0.423,2566.170213,3.581560284,1.482269504,0.38,0
s1,1000,1,s1_1000_1,3000,429,0.429,2628.494172,3.629370629,1.452214452,0.36,0
s1,1000,1,s1_1000_1,3000,456,0.456,2553.550439,3.502192982,1.440789474,0.36,0
s1,1000,1,s1_1000_1,3000,412,0.412,2566.046117,3.665048544,1.509708738,0.37,0
s1,1000,1,s1_1000_1,3000,430,0.43,2626.816279,3.618604651,1.451162791,0.36,0
s1,1000,1,s1_1000_1,3000,421,0.421,2590.099762,3.539192399,1.479809976,0.38,0
s1,1000,1,s1_1000_1,3000,460,0.46,2388.778261,3.541304348,1.484782609,0.39,0
s1,1000,1,s1_1000_1,3000,447,0.447,2563.049217,3.494407159,1.44295302,0.37,0
s1,1000,1,s1_1000_1,3000,468,0.468,2362.74359,3.638888889,1.47008547,0.39,0
s1,1000,1,s1_1000_1,3000,424,0.424,2638.25,3.617924528,1.466981132,0.36,0
s1,1000,1,s1_1000_1,3000,413,0.413,2760.338983,3.699757869,1.433414044,0.35,0
s1,1000,1,s1_1000_1,3000,446,0.446,2430.807175,3.625560538,1.49103139,0.38,0
s1,1000,1,s1_1000_1,3000,429,0.429,2603.473193,3.664335664,1.459207459,0.37,0
s1,1000,1,s1_1000_1,3000,442,0.442,2472.183258,3.509049774,1.484162896,0.39,0
s1,1000,1,s1_1000_1,3000,436,0.436,2534.637615,3.674311927,1.470183486,0.37,0
s1,1000,1,s1_1000_1,3000,445,0.445,2680.182022,3.604494382,1.395505618,0.36,0
s1,1000,1,s1_1000_1,3000,426,0.426,2572.561033,3.615023474,1.485915493,0.37,0
s1,1000,1,s1_1000_1,3000,452,0.452,2531.336283,3.683628319,1.449115044,0.37,0
s1,1000,1,s1_1000_1,3000,436,0.436,2431.571101,3.683486239,1.490825688,0.40,0
s1,1000,1,s1_1000_1,3000,443,0.443,2606.437923,3.577878104,1.44469526,0.35,0
s1,1000,1,s1_1000_1,3000,442,0.442,2435.282805,3.71040724,1.5,0.39,0
s1,1000,1,s1_1000_1,3000,460,0.46,2434.06087,3.667391304,1.467391304,0.38,0
s1,1000,1,s1_1000_1,3000,440,0.44,2517.327273,3.640909091,1.470454545,0.38,0
s1,1000,1,s1_1000_1,3000,407,0.407,2736.97543,3.636363636,1.457002457,0.36,0
s1,1000,1,s1_1000_1,3000,458,0.458,2429.644105,3.552401747,1.465065502,0.39,0
s1,1000,1,s1_1000_1,3000,436,0.436,2635.165138,3.577981651,1.44266055,0.36,0
s1,1000,1,s1_1000_1,3000,447,0.447,2455.243848,3.617449664,1.489932886,0.38,0
s1,1000,2,s1_1000_2,3000,537,0.537,3088.690875,3.862197393,1.739292365,0.43,0
s1,1000,2,s1_1000_2,3000,523,0.523,3225.210325,3.843212237,1.707456979,0.42,0
s1,1000,2,s1_1000_2,3000,514,0.514,3193.330739,3.906614786,1.737354086,0.42,0
s1,1000,2,s1_1000_2,3000,529,0.529,3075.990548,3.882797732,1.741020794,0.45,0
s1,1000,2,s1_1000_2,3000,522,0.522,3170.331418,3.994252874,1.703065134,0.44,0
s1,1000,2,s1_1000_2,3000,539,0.539,3067.519481,3.792207792,1.723562152,0.43,0
s1,1000,2,s1_1000_2,3000,504,0.504,3079.599206,3.837301587,1.771825397,0.45,0
s1,1000,2,s1_1000_2,3000,527,0.527,2966.998102,3.874762808,1.768500949,0.46,0
s1,1000,2,s1_1000_2,3000,532,0.532,2957.755639,3.836466165,1.772556391,0.47,0
s1,1000,2,s1_1000_2,3000,504,0.504,3419.029762,3.851190476,1.668650794,0.40,0
s1,1000,2,s1_1000_2,3000,523,0.523,3153.824092,3.917782027,1.724665392,0.43,0
s1,1000,2,s1_1000_2,3000,541,0.541,2967.19963,3.924214418,1.748613678,0.45,0
s1,1000,2,s1_1000_2,3000,522,0.522,3209.045977,3.67816092,1.697318008,0.43,0
s1,1000,2,s1_1000_2,3000,519,0.519,3215.169557,3.824662813,1.67822736,0.44,0
s1,1000,2,s1_1000_2,3000,527,0.527,3334.220114,3.863377609,1.669829222,0.41,0
s1,1000,2,s1_1000_2,3000,527,0.527,2962.59962,3.872865275,1.785578748,0.46,0
s1,1000,2,s1_1000_2,3000,511,0.511,3105.432485,3.85518591,1.767123288,0.44,0
s1,1000,2,s1_1000_2,3000,528,0.528,3267.791667,3.96780303,1.676136364,0.42,0
s1,1000,2,s1_1000_2,3000,521,0.521,3240.510557,3.84452975,1.715930902,0.41,0
s1,1000,2,s1_1000_2,3000,535,0.535,2992.66729,3.794392523,1.770093458,0.45,0
s1,1000,2,s1_1000_2,3000,537,0.537,3102.100559,3.849162011,1.713221601,0.44,0
s1,1000,2,s1_1000_2,3000,540,0.54,3080.888889,3.896296296,1.7,0.45,0
s1,1000,2,s1_1000_2,3000,499,0.499,3296.967936,3.765531062,1.711422846,0.43,0
s1,1000,2,s1_1000_2,3000,543,0.543,3157.913444,3.898710866,1.696132597,0.43,0
s1,1000,2,s1_1000_2,3000,510,0.51,3102.041176,3.803921569,1.717647059,0.45,0
s1,1000,2,s1_1000_2,3000,502,0.502,3159.26494,3.800796813,1.74501992,0.45,0
s1,1000,2,s1_1000_2,3000,534,0.534,3001.544944,3.878277154,1.758426966,0.46,0
s1,1000,2,s1_1000_2,3000,522,0.522,3300.036398,3.777777778,1.689655172,0.42,0
s1,1000,2,s1_1000_2,3000,527,0.527,3266.675522,3.838709677,1.688804554,0.41,0
s1,1000,3,s1_1000_3,3000,555,0.555,2655.567568,3.801801802,1.776576577,0.48,0
s1,1000,2,s1_1000_2,3000,513,0.513,3322.74269,3.916179337,1.699805068,0.40,0
s1,1000,3,s1_1000_3,3000,560,0.56,2461.689286,3.667857143,1.821428571,0.51,0
s1,1000,3,s1_1000_3,3000,550,0.55,2625.512727,3.665454545,1.790909091,0.50,0
s1,1000,3,s1_1000_3,3000,561,0.561,2800.586453,3.71657754,1.73083779,0.46,0
s1,1000,3,s1_1000_3,3000,566,0.566,2610.600707,3.743816254,1.777385159,0.50,0
s1,1000,3,s1_1000_3,3000,560,0.56,2321.766071,3.767857143,1.883928571,0.55,0
s1,1000,3,s1_1000_3,3000,571,0.571,2497.851138,3.76882662,1.791593695,0.53,0
s1,1000,3,s1_1000_3,3000,553,0.553,2522.43038,3.797468354,1.811934901,0.50,0
s1,1000,3,s1_1000_3,3000,583,0.583,2506.502573,3.7135506,1.80102916,0.50,0
s1,1000,3,s1_1000_3,3000,564,0.564,2558.785461,3.668439716,1.790780142,0.50,0
s1,1000,3,s1_1000_3,3000,585,0.585,2299.897436,3.615384615,1.875213675,0.54,0
s1,1000,3,s1_1000_3,3000,556,0.556,2578.393885,3.678057554,1.769784173,0.49,0
s1,1000,3,s1_1000_3,3000,564,0.564,2649.893617,3.705673759,1.796099291,0.49,0
s1,1000,3,s1_1000_3,3000,532,0.532,2632.073308,3.695488722,1.819548872,0.50,0
s1,1000,3,s1_1000_3,3000,540,0.54,2789.661111,3.705555556,1.761111111,0.46,0
s1,1000,3,s1_1000_3,3000,587,0.587,2641.235094,3.758091993,1.766609881,0.49,0
s1,1000,3,s1_1000_3,3000,563,0.563,2505.763766,3.635879218,1.79928952,0.51,0
s1,1000,3,s1_1000_3,3000,572,0.572,2557.938811,3.638111888,1.828671329,0.49,0
s1,1000,3,s1_1000_3,3000,513,0.513,2484.245614,3.71539961,1.822612086,0.54,0
s1,1000,3,s1_1000_3,3000,547,0.547,2537.043876,3.753199269,1.804387569,0.49,0
s1,1000,3,s1_1000_3,3000,546,0.546,2643.811355,3.646520147,1.783882784,0.50,0
s1,1000,3,s1_1000_3,3000,575,0.575,2496.050435,3.713043478,1.787826087,0.52,0
s1,1000,3,s1_1000_3,3000,568,0.568,2451.714789,3.677816901,1.832746479,0.51,0
s1,1000,3,s1_1000_3,3000,546,0.546,2645.673993,3.815018315,1.765567766,0.50,0
s1,1000,3,s1_1000_3,3000,561,0.561,2584.114082,3.732620321,1.823529412,0.50,0
s1,1000,3,s1_1000_3,3000,559,0.559,2426.955277,3.69588551,1.81216458,0.53,0
s1,1000,3,s1_1000_3,3000,562,0.562,2399.229537,3.784697509,1.861209964,0.54,0
s1,1000,3,s1_1000_3,3000,579,0.579,2417.57513,3.839378238,1.84283247,0.52,0
s1,1000,3,s1_1000_3,3000,555,0.555,2445.30991,3.610810811,1.836036036,0.53,0
s1,1000,3,s1_1000_3,3000,567,0.567,2414.45679,3.555555556,1.827160494,0.54,0
s1,1000,max,s1_1000_max,3000,593,0.593,2913.583474,3.650927487,1.954468803,0.52,0
s1,1000,max,s1_1000_max,3000,582,0.582,2937.024055,3.611683849,1.939862543,0.54,0
s1,1000,max,s1_1000_max,3000,592,0.592,2958.878378,3.5625,1.952702703,0.51,0
s1,1000,max,s1_1000_max,3000,584,0.584,3003.666096,3.767123288,1.967465753,0.52,0
s1,1000,max,s1_1000_max,3000,599,0.599,3119.739566,3.816360601,1.859766277,0.49,0
s1,1000,max,s1_1000_max,3000,585,0.585,2977.687179,3.78974359,1.912820513,0.50,0
s1,1000,max,s1_1000_max,3000,608,0.608,3049.144737,3.861842105,1.888157895,0.48,0
s1,1000,max,s1_1000_max,3000,598,0.598,2812.944816,3.859531773,2.006688963,0.54,0
s1,1000,max,s1_1000_max,3000,609,0.609,3062.90312,3.733990148,1.916256158,0.50,0
s1,1000,max,s1_1000_max,3000,620,0.62,2830.274194,3.7,2.020967742,0.54,0
s1,1000,max,s1_1000_max,3000,586,0.586,2753.616041,3.699658703,1.976109215,0.53,0
s1,1000,max,s1_1000_max,3000,605,0.605,2865.854545,3.623140496,1.938842975,0.51,0
s1,1000,max,s1_1000_max,3000,585,0.585,2880.700855,3.805128205,1.970940171,0.53,0
s1,1000,max,s1_1000_max,3000,585,0.585,2819.873504,3.68034188,2.013675214,0.53,0
s1,1000,max,s1_1000_max,3000,602,0.602,2869.66113,3.662790698,1.991694352,0.52,0
s1,1000,max,s1_1000_max,3000,608,0.608,2797.223684,3.662828947,1.975328947,0.53,0
s1,1000,max,s1_1000_max,3000,608,0.608,2891.088816,3.779605263,1.972039474,0.50,0
s1,1000,max,s1_1000_max,3000,603,0.603,2864.946932,3.726368159,1.978441128,0.51,0
s1,1000,max,s1_1000_max,3000,574,0.574,3003.527875,3.726480836,1.961672474,0.52,0
s1,1000,max,s1_1000_max,3000,577,0.577,3154.568458,3.757365685,1.904679376,0.49,0
s1,1000,max,s1_1000_max,3000,586,0.586,2891.858362,3.769624573,1.991467577,0.52,0
s1,1000,max,s1_1000_max,3000,615,0.615,3062.978862,3.67804878,1.926829268,0.50,0
s1,1000,max,s1_1000_max,3000,602,0.602,2879.813953,3.72923588,1.973421927,0.53,0
s1,1000,max,s1_1000_max,3000,591,0.591,2957.993232,3.727580372,2.005076142,0.51,0
s1,1000,max,s1_1000_max,3000,584,0.584,2942.708904,3.671232877,1.965753425,0.51,0
s1,1000,max,s1_1000_max,3000,593,0.593,2938.237774,3.792580101,1.959527825,0.50,0
s1,1000,max,s1_1000_max,3000,586,0.586,2819.571672,3.674061433,1.969283276,0.55,0
s1,1000,max,s1_1000_max,3000,596,0.596,3135.427852,3.728187919,1.904362416,0.50,0
s1,1000,max,s1_1000_max,3000,608,0.608,2885.981908,3.730263158,1.953947368,0.51,0
s1,1000,max,s1_1000_max,3000,628,0.628,3037.988854,3.729299363,1.907643312,0.50,0
s3,500,1,s3_500_1,3000,500,0,40.704,3.56,1.806,0.4501542845911952,36.026
s3,500,1,s3_500_1,3000,500,0,39.36,3.58,1.766,0.4702323170731708,35.556
s3,500,1,s3_500_1,3000,500,0,39.652,3.794,1.816,0.4583351155048931,35.3
s3,500,1,s3_500_1,3000,500,0,38.286,3.662,1.796,0.4557573003186543,35.426
s3,500,1,s3_500_1,3000,500,0,42.49,3.72,1.72,0.45489884678747966,35.874
s3,500,1,s3_500_1,3000,500,0,39.752,3.702,1.796,0.4539502918092171,35.274
s3,500,1,s3_500_1,3000,500,0,40.474,3.648,1.742,0.4497829717843552,36.176
s3,500,1,s3_500_1,3000,500,0,37.44,3.69,1.782,0.4530547008547011,33.214
s3,500,1,s3_500_1,3000,500,0,42.44,3.71,1.726,0.4564154571159282,36.124
s3,500,1,s3_500_1,3000,500,0,38.832,3.718,1.722,0.43,34.838
s3,500,1,s3_500_1,3000,500,0,39.478,3.726,1.776,0.4461321242210852,34.77
s3,500,1,s3_500_1,3000,500,0,39.978,3.51,1.806,0.4691061083595984,36.7
s3,500,1,s3_500_1,3000,500,0,37.286,3.664,1.814,0.45229941533015067,32.812
s3,500,1,s3_500_1,3000,500,0,41.542,3.702,1.76,0.4515305955418616,36.246
s3,500,1,s3_500_1,3000,500,0,39.87,3.696,1.78,0.4618739904690242,36.704
s3,500,1,s3_500_1,3000,500,0,36.576,3.726,1.806,0.45600962379702553,33.35
s3,500,1,s3_500_1,3000,500,0,40.564,3.86,1.748,0.4683348782171384,34.98
s3,500,1,s3_500_1,3000,500,0,39.32,3.76,1.814,0.4615041709053917,34.684
s3,500,1,s3_500_1,3000,500,0,38.874,3.592,1.796,0.45458321757472864,34.408
s3,500,1,s3_500_1,3000,500,0,42.516,3.612,1.656,0.4411792266440866,33.796
s3,500,1,s3_500_1,3000,500,0,37.772,3.724,1.862,0.4659190935084193,33.676
s3,500,1,s3_500_1,3000,500,0,37.048,3.732,1.848,0.4569432088101918,32.652
s3,500,1,s3_500_1,3000,500,0,41.002,3.778,1.728,0.4488905907028922,34.784
s3,500,1,s3_500_1,3000,500,0,39.276,3.716,1.796,0.46159323760057036,35.242
s3,500,1,s3_500_1,3000,500,0,40.904,3.726,1.818,0.45120320751026816,36.182
s3,500,1,s3_500_1,3000,500,0,39.82,3.702,1.762,0.4605100954294323,34.856
s3,500,1,s3_500_1,3000,500,0,37.772,3.618,1.766,0.4521923117653287,33.094
s3,500,1,s3_500_1,3000,500,0,42.412,3.7,1.746,0.44315457889276616,37.656
s3,500,2,s3_500_2,3000,500,0,48.664,3.794,2.06,0.49405079730396195,37.974
s3,500,1,s3_500_1,3000,500,0,41.83,3.736,1.728,0.45,36.804
s3,500,2,s3_500_2,3000,500,0,46.684,3.844,2.084,0.48144117899066097,35.066
s3,500,1,s3_500_1,3000,500,0,42.044,3.688,1.68,0.4402125392446009,34.512
s3,500,2,s3_500_2,3000,500,0,51.194,3.82,1.962,0.49876462085400625,37.104
s3,500,2,s3_500_2,3000,500,0,50.48,3.748,1.92,0.48031489698890684,35.54
s3,500,2,s3_500_2,3000,500,0,48.918,3.776,1.986,0.4748329040435017,37.712
s3,500,2,s3_500_2,3000,500,0,50.234,3.672,1.92,0.4945378030815782,37.356
s3,500,2,s3_500_2,3000,500,0,52.492,3.806,1.978,0.49586390307094447,38.484
s3,500,2,s3_500_2,3000,500,0,46.418,3.634,2.01,0.4894452152182343,37.198
s3,500,2,s3_500_2,3000,500,0,50.906,3.86,1.97,0.4867548029701804,36.268
s3,500,2,s3_500_2,3000,500,0,50.052,3.762,2.016,0.4779430991768563,36.752
s3,500,2,s3_500_2,3000,500,0,53.318,3.796,1.93,0.48255050827112744,38.398
s3,500,2,s3_500_2,3000,500,0,51.544,3.706,1.968,0.4975298773863107,37.088
s3,500,2,s3_500_2,3000,500,0,50.696,3.8,1.948,0.48695518384093406,37.796
s3,500,2,s3_500_2,3000,500,0,48.048,3.696,1.982,0.49960256410256426,36.018
s3,500,2,s3_500_2,3000,500,0,47.33,3.744,2.042,0.4836241707162475,39.036
s3,500,2,s3_500_2,3000,500,0,46.482,3.722,2.01,0.49312103609999564,35.924
s3,500,2,s3_500_2,3000,500,0,48.898,3.688,2.026,0.49090981226226044,36.664
s3,500,2,s3_500_2,3000,500,0,53.104,3.642,1.988,0.49,37.766
s3,500,2,s3_500_2,3000,500,0,50.74,3.7,1.964,0.47659471817106813,37.972
s3,500,2,s3_500_2,3000,500,0,46.282,3.71,2.046,0.5079592930296877,37.25
s3,500,2,s3_500_2,3000,500,0,50.67,3.83,1.966,0.49131407144266837,38.99
s3,500,2,s3_500_2,3000,500,0,50.396,3.832,1.976,0.48292324787681534,35.716
