run number,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index
91,500,max,500_max,3000,329,0.658,3014.513678,3.689969605,2.036474164,0.494210333
90,500,3,500_3,3000,283,0.566,3621.660777,3.650176678,1.802120141,0.4574535
89,500,3,500_3,3000,287,0.574,3336.404181,3.74912892,1.881533101,0.477359507
93,500,max,500_max,3000,292,0.584,2830.023973,3.780821918,2.078767123,0.533178064
92,500,max,500_max,3000,312,0.624,3110.019231,3.778846154,1.891025641,0.51551403
94,500,max,500_max,3000,317,0.634,2938.268139,3.779179811,2.05362776,0.510614719
96,500,max,500_max,3000,313,0.626,2966.514377,3.728434505,2.031948882,0.520012695
95,500,max,500_max,3000,305,0.61,3053.747541,3.859016393,2.042622951,0.511729603
97,500,max,500_max,3000,288,0.576,3389.84375,3.725694444,1.9375,0.482442131
98,500,max,500_max,3000,300,0.6,3335.003333,3.766666667,1.98,0.462094061
100,500,max,500_max,3000,302,0.604,2964.927152,3.698675497,2.006622517,0.540706679
99,500,max,500_max,3000,306,0.612,3083.336601,3.869281046,2.045751634,0.530302187
101,500,max,500_max,3000,309,0.618,3228.016181,3.851132686,2,0.475723435
102,500,max,500_max,3000,304,0.608,2975.677632,3.6875,1.993421053,0.532215479
103,500,max,500_max,3000,322,0.644,3200.891304,3.810559006,1.99378882,0.494331273
104,500,max,500_max,3000,303,0.606,3380.653465,3.805280528,1.98019802,0.452022144
105,500,max,500_max,3000,311,0.622,2763.527331,3.778135048,2.083601286,0.528580202
106,500,max,500_max,3000,308,0.616,3219.318182,3.681818182,1.925324675,0.486805297
107,500,max,500_max,3000,315,0.63,3176.330159,3.6,1.977777778,0.517479247
108,500,max,500_max,3000,319,0.638,3221.554859,3.620689655,1.934169279,0.50103961
109,500,max,500_max,3000,285,0.57,2951.515789,3.719298246,2.133333333,0.528729327
110,500,max,500_max,3000,327,0.654,2886.253823,3.948012232,2.01529052,0.53075513
112,500,max,500_max,3000,300,0.6,3014.743333,3.8,2.076666667,0.521270936
113,500,max,500_max,3000,311,0.622,3130.045016,3.665594855,2.012861736,0.48533646
111,500,max,500_max,3000,320,0.64,2949.66875,3.84375,2.1,0.546857983
114,500,max,500_max,3000,313,0.626,3177.709265,3.702875399,2.015974441,0.483222832
115,500,max,500_max,3000,336,0.672,2943.196429,3.636904762,2.032738095,0.520215971
118,500,max,500_max,3000,310,0.62,2887.990323,3.832258065,2.038709677,0.520702773
117,500,max,500_max,3000,324,0.648,3014.45679,3.882716049,1.99382716,0.503026264
116,500,max,500_max,3000,326,0.652,3134.300613,3.800613497,2,0.514800559
120,500,max,500_max,3000,318,0.636,3118.31761,3.669811321,1.996855346,0.520270565
