Latitude,Longitude
51.491083,-0.2414
51.49222,-0.171102
51.491954,-0.148438
51.489575,-0.163559
51.542493,-0.147368
51.526292,-0.162485
51.547644,-0.098352
51.553996,-0.074863
51.530634,-0.05637
51.453844,-0.086333
51.459874,-0.12109
51.47013,-0.210457
51.444101,-0.190278
51.46756,-0.162931
51.423905,-0.142071
51.485271,-0.093905
51.48183,-0.127562
51.433089,-0.089632
51.467756,-0.023466
51.443002,-0.116473
51.443155,-0.068418
51.453478,-0.113134
51.471819,-0.052406
51.467965,-0.091458
51.453312,-0.077432
51.437846,-0.105664
51.431161,-0.059861
51.432961,-0.154061
51.449999,-0.173912
51.453735,-0.243685
51.471772,-0.23693
51.487581,-0.222046
51.459325,-0.172849
51.464945,-0.15899
51.416093,-0.184697
51.462462,-0.208253
51.45043,-0.140145
51.558681,-0.137795
51.527468,-0.214712
51.501711,-0.212808
51.494825,-0.185403
51.523249,-0.149677
51.491198,-0.13477
51.490548,-0.211963
51.563908,-0.129502
51.530963,-0.170169
51.512267,-0.169593
51.49089,-0.185055
51.545022,-0.134444
51.524379,-0.176473
51.515538,-0.163696
51.496063,-0.158688
51.514525,-0.195747
51.516327,-0.186624
51.507409,-0.15336
51.500395,-0.149393
51.552706,-0.133062
51.522099,-0.193559
51.565442,-0.073124
51.542915,-0.117427
51.529486,-0.096585
51.53644,-0.076916
51.519692,-0.074508
51.565318,-0.060143
51.550145,-0.109022
51.571168,-0.117327
51.544164,-0.034031
51.514378,-0.05601
51.556677,-0.090344
51.546463,-0.059734
51.509459,-0.060341
51.526267,-0.066373
51.54861,-0.04232
51.541242,-0.102858
51.536185,-0.089933
51.54657,-0.083209
51.511229,-0.012967
51.542628,-0.091869
51.505893,-0.048662
51.574324,-0.076832
51.531577,-0.111911
51.536289,-0.054644
51.550292,-0.059109
51.549387,-0.128467
51.541061,-0.096694
51.537214,-0.100704
51.557307,-0.055897
51.547182,-0.092631
51.520875,-0.056252
51.542973,-0.05534
51.547685,-0.068985
51.526864,-0.026616
51.522622,-0.041258
51.52057,-0.052474
51.519009,-0.060339
51.515431,-0.071286
51.534545,-0.006487
51.513496,0.001818
51.510407,-0.070922
51.481338,-0.017248
51.48193,-0.027851
51.489449,-0.041283
51.49557,-0.051408
51.498074,-0.064628
51.500259,-0.073353
51.473996,-0.048108
51.473533,-0.058668
51.473334,-0.070557
51.473834,-0.089601
51.477939,-0.102563
51.484341,-0.117608
51.485273,-0.122481
51.487735,-0.127392
51.490083,-0.137638
51.466317,-0.017064
51.496002,-0.150234
51.422951,-0.173451
51.433765,-0.162848
51.441432,-0.154612
51.449377,-0.148031
51.458263,-0.142475
51.464676,-0.130668
51.468981,-0.126576
51.477709,-0.1168
51.483382,-0.111079
51.491901,-0.102401
51.466213,-0.179182
51.472066,-0.16586
51.474587,-0.154585
51.485333,-0.149988
51.48519,-0.137579
51.552579,-0.187462
51.546526,-0.17928
51.542541,-0.173945
51.511857,-0.17386
51.48592,-0.121287
51.489725,-0.131488
51.482148,-0.124409
51.451434,-0.14222
51.430818,-0.142481
51.552468,-0.157796
51.523417,-0.166623
51.488875,-0.150508
